rowname	ATRX_fpkm	TERT_fpkm	DAXX_fpkm
BS_1HQ76V6D	51.13	0	14.96
BS_1J2WQ08M	29.36	0.55	17.66
BS_1JDG6JV5	34.91	0.01	19.29
BS_1KYGSMA7	48.43	0.02	15.86
BS_1N9XZXGE	28.83	0.96	26.36
BS_273HKCT4	46.16	0	12.67
BS_1QNTEZPS	50.6	0.26	17.52
BS_3T6X4BPC	44.26	0.06	18.33
BS_1RT76ANT	44.21	4.11	58
BS_1RXZ3BP7	36.48	0	12.91
BS_1SVVER1H	32.64	0	12.24
BS_1T19NFJ8	41.07	0.01	10.59
BS_1TPWFSK6	45.62	0	11.06
BS_1XJ73KBQ	42.93	0	16.78
BS_1ZVXF5FE	46.23	0	12.49
BS_21RE8W46	40.55	0.05	18.92
BS_23QW0BBA	49.42	0	22.3
BS_23M72ABG	27.24	0	13.09
BS_29X4ZX6Q	21.1	0.08	25.95
BS_24AHZ9ZW	35.77	0	16.28
BS_258RRGDM	47.36	0.06	12.67
BS_25T139TX	51.6	0	16.98
BS_6MY8W3H0	34.91	0.11	9.03
BS_2A162JH9	24.06	0.01	25.04
BS_1NPD7PVG	35.57	0	17.04
BS_28CDASF7	44.32	0	17.68
BS_29006KEX	25.76	0	13
BS_29CPJ040	39.81	0	14.19
BS_2A5R9MEJ	55.96	0.14	17.66
BS_2EN3X6HB	38.01	0	13.99
BS_2ADZNNV4	39.68	0	11.2
BS_2EMW8ZG3	33.26	0	11.73
BS_2HN96129	46.52	0	16.63
BS_30VC3R2Q	50.74	0	17.14
BS_2KJ2YAZR	40.9	0	16.02
BS_2R9TCR03	32.84	0	14.81
BS_23W9EPFE	14.9	0	22.32
BS_2W3NC4K1	24.42	0	15.81
BS_2WPQ8YCW	48.71	0.01	19.56
BS_7WNSZNE3	50.51	0.14	20.27
BS_2YCJV2VV	45.39	0	18.16
BS_399RPKC9	41.93	0.3	13.84
BS_31TF0P1N	18.21	0.09	12.12
BS_34201DKZ	28.97	0	10.52
BS_37GTVG4N	41.54	0.3	22.52
BS_398KYV92	29.33	0.08	8.91
BS_3MS8WVNR	23.46	0.02	22.49
BS_3BVVWHP5	30.32	0	14.67
BS_3DCBDJAT	26.02	0.06	13.59
BS_3EVSN5QD	57.09	0	14.61
BS_3F4FQJMR	32.51	0.01	10.34
BS_3G3KWY18	33.84	0	14.06
BS_27QE6BV7	32.79	0.01	9.23
BS_3J85TTZM	28.39	0.01	12.88
BS_3KASVCSQ	59.72	0.02	14.72
BS_3KHXMAJF	18.55	0	13.6
BS_3NNQ6PSB	53.43	0.16	12.41
BS_40MP5BWR	50.46	0	18.38
BS_3P20Q2C3	64.86	0	14.21
BS_45J79YTF	49.55	0.21	12.38
BS_2AR3AP0N	30.22	0.01	11.35
BS_3Q0GTSYH	55.22	0	13.1
BS_3TQSE8HF	45.43	0	15.84
BS_49BQS7Z6	33.96	0	13.65
BS_3W07B2TG	33.67	0	15.73
BS_3X9WMZGJ	33.35	0.01	12.7
BS_3H71BH6Q	33.03	0.01	15.22
BS_3Y0QXZQB	28.27	0	13.82
BS_3PYESPHA	47.04	0	10.07
BS_401R3KV0	35.14	0	14.41
BS_49FQXT2E	48.75	0.01	16.84
BS_4B0BAVTX	42.07	0.02	15.88
BS_42DY6WS7	49.42	0	16.19
BS_42Y3YANN	41.04	0.01	15.46
BS_46BZ2NNN	20.99	0.36	17.2
BS_470DYRJQ	34.39	0.01	10.86
BS_3XY76V8T	41.58	0	14.88
BS_479S95Q6	33.79	0	9.91
BS_47SJZ3PH	54.74	0	16.66
BS_49852ZBH	34.3	0	13.12
BS_49F4RAA4	26.88	0.05	10.41
BS_4QW2S1Q8	34.16	0.01	31.14
BS_49VCQD19	36.61	0	9.35
BS_4A45GGSW	46.16	0	12.13
BS_51RA1PGE	31.87	0.01	14.97
BS_4BWB0FA0	30.58	0	14.39
BS_4C4MZ4NT	32.17	0	22.9
BS_52C576HH	19.66	0	29.14
BS_4E1G7E3G	104.51	2.61	27.17
BS_4EN8D8Y4	39.21	0	17.41
BS_4FZS7TX4	37.05	0	13.42
BS_478TN841	34.43	0	13.52
BS_4HQ3T2NC	38.21	0	13.83
BS_4JWBB28H	29.05	1.22	16.67
BS_4NF35AF6	49.08	0.01	16.2
BS_4NWHYH53	51.75	0.01	13.3
BS_52MPKTJH	60.37	0	14.78
BS_4SCWT0FX	40.8	0.15	18.81
